t0,neffs,reliability,out_risk,runtime
201, 2.6743390865614063, 620.9316033897408, 0.2879095554150086, 11.156933784484863
202, 3.7046337376665464, 2102.3194192731767, 0.3560805483005049, 9.705986738204956
203, 2.351888416165776, 561.2292567513888, 0.29866699840507493, 9.619471073150635
204, 72.43890859559538, 170.34128889420006, 0.09909918962296888, 9.667853116989136
205, 0.09723816079330788, -19107.111446096478, 8.629142190981241, 9.698715686798096
206, 21.959516177496862, 273.7591517411485, 0.09379612895484311, 9.677459478378296
207, 3.5416427263162262, 616.4636056285088, 0.45157133142205785, 9.65864109992981
208, 2.8504859870850177, 3761.0647940463305, 0.3623564452562337, 9.591791152954102
209, 0.5476693040711887, -4789.50339859034, 1.752799309752521, 9.645911931991577
210, 4.5975318637934315, 1436.9512849016185, 0.3113573945393981, 9.68723177909851
211, 2.9599676586538917, 543.0227272551413, 0.4587185871411607, 9.575596570968628
212, 3.1029820054155732, 666.2839616695828, 0.3365081943619425, 9.573501825332642
213, 419.2256444196046, 80.8339900840362, 0.07205180055235272, 9.663257598876953
214, 12.62762363279925, 167.9342958809223, 0.09723039267966224, 9.552266597747803
215, 5.569656278933632, 432.7813040149746, 0.24250591182198913, 9.53842806816101
216, 2.189099279967675, 1129.259360308264, 0.4179475192946805, 9.65727949142456
217, 11.17036802341714, 219.11755967945246, 0.1210292478335699, 9.73368763923645
218, 1.3880686312349, -2386.5467415330527, 1.2662927964465844, 9.962842226028442
219, 2.4687372847911138, -12426.18080317751, 0.5912160065176384, 9.722797155380249
220, 0.31296379880399716, -3837.740067523358, 2.637941304742266, 9.68106985092163
221, 0.0021118699662574045, 56568.54020826145, 486.04891323716276, 9.599003791809082
222, 4.233406657427857, 1471.3616556846064, 0.38567887357159375, 9.587770938873291
223, 1.6344521781941612, -5837.420293362077, 0.8433441885256623, 9.775286674499512
224, 1.8678832190729286, 31114.24469877151, 1.1265972434993934, 9.641831159591675
225, 1.0418551078578528, 15073.36294205719, 0.5849218847252744, 9.68390941619873
226, 0.23156875584819425, -2945.7609405079065, 4.5097121649435845, 9.572879076004028
227, 1.4295977016730943, 1540.976592237567, 0.595880705782234, 9.63348650932312
228, 0.4749059576458282, -1456.4961299388965, 1.968099180619055, 9.699068546295166
229, 0.29366990051032654, 2616.5834873728286, 2.664139446991475, 9.840025424957275
230, 2.7996463624805914, 2289.9388307387917, 0.2798136092545188, 9.573306322097778
231, 0.2205258342796827, -5138.957203823813, 3.3247114467723935, 9.60135293006897
232, 1.616426064658829, 3283.3503535839345, 0.5870620267425645, 9.592681169509888
233, 3.895822054580032e-06, 782516783.5511816, 268881.68674799346, 9.914036989212036
234, 3.3688213711181094e-08, 53636918002.54444, 31114365.776726827, 9.643223524093628
235, 0.06207917909931491, -8120.1356749152865, 12.543779171384825, 9.645907640457153
236, 0.004923630985619134, 56314.47990232309, 162.97826258073133, 9.59545612335205
237, 0.20310542572472984, -3059.096737574697, 5.930044798559096, 9.749917030334473
238, 0.9061902269861245, 2119.668460748894, 0.9653387755952924, 9.629202842712402
239, 2.6480488429560487, 3273.3320143235405, 0.6018105949082329, 9.586436748504639
240, 0.021888804763689717, 21116.333822351327, 38.674486307907316, 9.600794076919556
241, 5.285054965293895, 592.4901619488984, 0.31037993678507103, 9.804885625839233
242, 0.03207245494927468, 30894.879170442666, 21.91682018285598, 10.898183107376099
243, 1.295077550402416, -888.4155905672006, 0.7873110995831454, 9.663617372512817
244, 0.37747134749923256, -13509.117298815096, 2.0489450022507594, 9.698825359344482
245, 1.1562301905584182, 44572.72095516845, 1.5851908545746063, 9.654373407363892
246, 1.2068041544086545, 954.525986762228, 0.7284771330288421, 9.943471670150757
247, 2.8343645803354005, 1964.5039082143376, 0.6204635981777189, 10.05650544166565
248, 3.068218990679464, 816.6470516774131, 0.4477057500058701, 9.826395988464355
249, 4.062703426113263, 1403.474598777853, 0.22703889225754903, 9.854554653167725
250, 0.013546438913036033, -30240.0080058205, 123.4083547420721, 9.766530275344849
251, 1.0782550259240973, -3268.053766278772, 0.9955475284976475, 10.28669810295105
252, 0.1186318976639935, 4060.9899538362824, 6.2894708149991345, 9.775948762893677
253, 3.9844581134630124, 2061.1531852377116, 0.3561370619480636, 9.885088443756104
254, 2.600681314616784, 955.2800718271136, 0.3724602182386425, 9.761144638061523
255, 0.9626585715014928, 1151.3311543439286, 1.1534596112232225, 10.058826208114624
256, 0.5377529488245574, -15583.652617285099, 1.6983260521120997, 9.914996147155762
257, 0.0002957970269482527, 91104.4302354447, 3447.0312031318026, 9.719017744064331
258, 0.33622746036817314, -8555.712137012008, 3.448473077292397, 9.772136688232422
259, 5.619779912851638, 1248.3446589678335, 0.3564550224651357, 9.864062070846558
260, 0.507464645223938, -42445.58659656523, 1.5432504998018133, 9.84138822555542
261, 0.917591986407285, -6231.8736354434295, 0.9558185128590245, 9.815863132476807
262, 1.0022638532489054e-08, -119871508279.4271, 96418130.24842569, 9.883925914764404
263, 2.0553964782679492e-08, -49942039270.7823, 47016265.22664517, 10.005571603775024
264, 0.22258011559702964, -4966.184701653106, 3.3912588671277746, 10.293241024017334
265, 9.063238823510514e-08, -46257190091.37077, 10664722.023763184, 9.876359224319458
266, 4.5096447140078917e-08, -9668519672.45279, 21418641.8499533, 9.820781469345093
267, 1.607696688860877e-06, -953524010.7105913, 601345.4838879055, 9.808972358703613
268, 3.7034761421150663e-06, -1299411416.4115038, 261422.16612031666, 9.861912488937378
269, 0.23273171472068185, 33763.513007013265, 2.5444682857175587, 10.159271001815796
270, 0.0437440601900857, -9549.187156447233, 19.6324473705582, 9.834952116012573
271, 0.5047227229126773, -4048.983142836808, 2.345279538521414, 9.996350526809692
272, 8.644926881998869e-06, 297881934.3357904, 111611.9441287565, 10.155582904815674
273, 0.22449334875653668, 4274.155908792031, 5.572094791820746, 10.415958404541016
274, 4.088472985953899e-06, -305816782.8202715, 236229.5721130903, 10.165770769119263
275, 6.027750733984679e-07, -490356455.80383795, 1599728.8166121833, 10.098260879516602
276, 0.8397950017264397, -2040.5779266645256, 1.0441226980791358, 9.982270002365112
277, 0.03227130249340246, -8779.900303540773, 40.60522297199488, 10.452926874160767
278, 0.6447956295107626, -3618.55444624324, 1.0160866418521624, 10.112077474594116
279, 1.0067901894841333, -44807.10689165822, 0.9371772044909465, 10.096696376800537
280, 1.0101847375915551e-07, -4388637167.095774, 9548075.452892413, 10.12196946144104
281, 0.43415785747756663, 8219.04095031691, 2.1881226122665924, 9.96700668334961
282, 1.801726452413815e-08, -13512026255.204786, 53683991.620355174, 9.935437202453613
283, 1.3267992720888098, -7028.4065266467705, 0.8128966889878748, 9.931405305862427
284, 1.1274040086587804, 4386.100022244997, 0.7274063086777212, 9.887489080429077
285, 2.2346124206899112e-07, -38672627321.357635, 4327644.128425381, 10.121366500854492
286, 1.9726867301480624e-07, 257592051248.74094, 4900161.862999098, 10.353044748306274
287, 4.332961505205423e-07, 3424113438.8048015, 2229451.270973568, 9.942906856536865
288, 0.5509931406694076, 2476.0411845962576, 2.0221318096037217, 9.943323135375977
289, 0.9578212209999775, 7333.117313735689, 0.8533713098948942, 9.926830530166626
290, 2.6778591782617115e-09, 407429853895.67896, 360923634.59601355, 10.014829397201538
291, 0.7472259500187735, 4402.7365943115865, 1.6051512738465783, 9.926575183868408
292, 0.31934321057002074, 1822.0607832309688, 2.8212727028990114, 10.00563645362854
293, 1.6953896259890956e-07, -2168014857.234735, 5693425.211284209, 9.942553758621216
294, 0.013865816058920821, 66333.03450238414, 54.551701345969335, 9.979549646377563
295, 0.0025999454486926882, -47592.89939139522, 291.4204833404093, 10.290454149246216
296, 0.3793483747338812, 2622.554364314934, 1.9219096159065552, 9.916169881820679
